City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
139,Sumter,US,28.7086,-82.0831,90.07,66,77,8.14,broken clouds
140,Bengkulu,ID,-3.8004,102.2655,77.0,88,47,3.13,scattered clouds
141,Santa Maria,BR,-29.6842,-53.8069,55.47,73,50,7.7,scattered clouds
142,Kinna,SE,57.5073,12.6946,75.81,49,38,8.41,scattered clouds
143,Khatanga,RU,71.9667,102.5,47.75,76,100,13.98,overcast clouds
144,Puerto Ayora,EC,-0.7393,-90.3518,76.96,86,100,5.99,overcast clouds
145,Eldorado,BR,-23.7869,-54.2836,52.97,80,100,10.25,overcast clouds
146,Beeville,US,28.4008,-97.7483,87.3,62,40,8.05,scattered clouds
147,Zhigansk,RU,66.7697,123.3711,59.18,71,61,7.92,broken clouds
148,Anjozorobe,MG,-18.4,47.8667,52.47,87,93,10.74,overcast clouds
149,Saint-Francois,FR,46.4154,3.9054,90.84,17,0,5.75,clear sky
150,Nova Olimpia,BR,-14.7972,-57.2881,71.71,39,100,9.46,overcast clouds
151,Muros,ES,42.7762,-9.0603,95.68,65,66,4.76,broken clouds
152,Rocha,UY,-34.4833,-54.3333,55.72,61,0,5.39,clear sky
153,Brae,GB,60.3964,-1.353,59.86,86,100,27.0,overcast clouds
154,Souillac,MU,-20.5167,57.5167,69.15,66,36,21.77,scattered clouds
155,Ambovombe,MG,-25.1667,46.0833,70.95,60,48,15.66,scattered clouds
156,Belyy Yar,RU,53.6039,91.3903,67.89,63,0,6.71,clear sky
157,Dunedin,NZ,-45.8742,170.5036,41.81,80,100,1.01,overcast clouds
158,Karasjok,NO,69.4719,25.5112,57.33,92,100,16.46,light rain
159,Luganville,VU,-15.5333,167.1667,75.63,86,88,10.71,overcast clouds
160,Calama,CL,-22.4667,-68.9333,66.69,2,0,13.8,clear sky
161,Hithadhoo,MV,-0.6,73.0833,82.49,72,73,6.46,broken clouds
162,Evensk,RU,61.95,159.2333,54.72,85,100,4.94,overcast clouds
163,Bilibino,RU,68.0546,166.4372,53.1,95,0,0.85,clear sky
164,Gomoh,IN,23.8667,86.1667,78.42,90,100,9.46,overcast clouds
165,Mathbaria,BD,22.2876,89.9593,79.02,91,100,24.72,overcast clouds
166,Cubuk,TR,40.2386,33.0322,80.06,41,40,18.41,scattered clouds
167,Qaanaaq,GL,77.484,-69.3632,36.75,64,1,5.28,clear sky
168,Pyapon,MM,16.2833,95.6833,77.74,89,100,3.62,overcast clouds
169,Gravesend,GB,51.4414,0.3737,86.11,47,26,10.47,scattered clouds
170,Mahibadhoo,MV,3.7833,72.9667,81.95,79,45,8.03,scattered clouds
171,Leshukonskoye,RU,64.8989,45.7622,68.11,43,15,3.69,few clouds
172,Hokitika,NZ,-42.7167,170.9667,38.08,65,0,7.29,clear sky
173,Dikson,RU,73.5069,80.5464,40.89,96,100,13.31,light rain
174,Adrar,MR,20.5022,-10.0711,107.51,8,24,13.35,few clouds
175,Lakhipur,IN,26.0299,90.3041,79.21,90,12,5.88,few clouds
176,Sakakah,SA,29.9697,40.2064,107.64,14,0,9.8,clear sky
177,Sakata,JP,38.9167,139.855,78.13,83,99,4.85,overcast clouds
178,Berlevag,NO,70.8578,29.0864,64.35,63,75,10.36,broken clouds
179,Coquimbo,CL,-29.9533,-71.3436,55.13,82,0,8.05,clear sky
180,Kavaratti,IN,10.5669,72.642,81.75,82,69,21.88,broken clouds
181,Alta Floresta,BR,-9.8756,-56.0861,85.15,42,20,7.11,few clouds
182,Horodnya,UA,51.8909,31.5974,69.55,62,100,10.4,overcast clouds
183,Andenes,NO,69.3143,16.1194,59.94,94,100,20.71,light rain
184,Thompson,CA,55.7435,-97.8558,62.49,51,0,6.31,clear sky
185,Longyearbyen,SJ,78.2186,15.6401,48.04,87,75,4.61,broken clouds
186,Dwarka,IN,22.2394,68.9678,84.83,80,100,11.32,overcast clouds
187,Sao Filipe,CV,14.8961,-24.4956,79.16,84,49,6.55,scattered clouds
188,Rawlins,US,41.7911,-107.2387,74.35,33,0,5.75,clear sky
189,San,ML,13.3034,-4.8956,93.34,43,61,3.69,broken clouds
190,Stepantsevo,RU,56.1314,41.7032,71.31,52,45,3.87,scattered clouds
191,Sola,VU,-13.8833,167.55,78.73,81,8,20.47,clear sky
192,Kununurra,AU,-15.7667,128.7333,67.98,77,9,0.0,clear sky
193,Port Blair,IN,11.6667,92.75,82.44,78,40,4.61,mist
194,Moree,AU,-29.4667,149.85,48.15,78,15,8.28,few clouds
195,Wum,CM,6.3833,10.0667,71.11,90,100,2.8,moderate rain
196,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,91.4,48,83,4.27,broken clouds
197,Aloleng,PH,16.1307,119.7824,80.6,81,100,8.9,overcast clouds
198,Londonderry,GB,54.9981,-7.3093,78.53,34,0,9.22,clear sky
199,Meulaboh,ID,4.1363,96.1285,78.64,81,15,3.04,few clouds
200,Berwick,US,41.0545,-76.2333,77.38,71,7,4.0,clear sky
201,Tianpeng,CN,30.9866,103.9393,78.03,80,100,4.9,overcast clouds
202,Coahuayana,MX,18.7333,-103.6833,83.53,70,93,2.64,overcast clouds
203,Fairbanks,US,64.8378,-147.7164,44.92,91,0,3.44,clear sky
204,Kodiak,US,57.79,-152.4072,54.91,88,100,6.91,light rain
205,Kruisfontein,ZA,-34.0033,24.7314,60.89,72,99,9.19,overcast clouds
206,Jalu,LY,29.0331,21.5482,97.56,21,0,13.96,clear sky
207,Kaitangata,NZ,-46.2817,169.8464,38.93,84,95,3.4,overcast clouds
208,Upernavik,GL,72.7868,-56.1549,40.51,87,99,11.83,overcast clouds
209,Juba,SS,4.8517,31.5825,84.09,65,100,1.45,overcast clouds
210,Tskneti,GE,41.6939,44.6937,78.3,37,12,11.5,few clouds
211,Havre-Saint-Pierre,CA,50.2334,-63.5986,61.92,80,0,8.39,clear sky
212,Billings,US,45.7833,-108.5007,74.52,59,40,1.01,scattered clouds
213,Beloha,MG,-25.1667,45.05,76.26,42,63,13.56,broken clouds
214,Inhambane,MZ,-23.865,35.3833,76.98,73,20,4.61,few clouds
215,Kalashnikovo,RU,57.2824,35.2262,65.01,61,98,3.56,overcast clouds
216,Zyryanka,RU,65.75,150.85,63.37,73,100,7.43,light rain
217,Manjeshwar,IN,12.7194,74.8861,79.75,86,84,12.24,broken clouds
218,Dingtao,CN,35.0683,115.5625,74.7,91,98,5.03,overcast clouds
219,Wana,PK,32.2989,69.5725,84.96,47,1,4.23,clear sky
220,Diapaga,BF,12.0708,1.7889,85.82,61,84,6.51,broken clouds
221,Port Elizabeth,ZA,-33.918,25.5701,63.1,76,0,11.5,clear sky
222,Ola,RU,59.5833,151.2833,55.51,86,84,7.83,broken clouds
223,Sur,OM,22.5667,59.5289,89.22,58,100,10.69,overcast clouds
224,Saskylakh,RU,71.9167,114.0833,53.44,62,99,6.98,overcast clouds
225,Duku,NG,11.2361,4.9073,86.09,61,97,5.64,overcast clouds
226,Fuyang,CN,32.9,115.8167,83.68,77,100,5.77,overcast clouds
227,Haines Junction,CA,60.7522,-137.5108,47.73,88,100,1.12,overcast clouds
228,Shirokiy,RU,49.758,129.523,51.6,96,27,6.8,scattered clouds
229,Farafenni,GM,13.5667,-15.6,89.73,61,99,9.46,light rain
230,Omboue,GA,-1.5746,9.2618,75.83,74,97,10.22,overcast clouds
231,Nome,US,64.5011,-165.4064,48.27,87,100,10.36,overcast clouds
232,Karratha,AU,-20.7377,116.8463,67.71,46,0,5.7,clear sky
233,San Quintin,MX,30.4833,-115.95,73.74,72,12,5.08,few clouds
234,Terrace,CA,54.5163,-128.6035,64.56,68,0,1.45,clear sky
